Time, pos_a, pos_ref, vel_a, vel_ref, accel_a, accel_ref
1,0.019531,0.007143,0.009998,-0.007433,-0.045898,-0.020918
2,0.019531,0.014286,0.009998,-0.003147,0.024414,-0.015775
3,0.019531,0.021428,0.009998,0.001138,-0.083984,-0.010632
4,0.019531,0.028571,0.009998,0.005424,0.080078,-0.005489
5,0.019531,0.035713,0.009998,0.009709,-0.030273,-0.000347
6,0.019531,0.042856,0.009998,0.013995,-0.048828,0.004796
7,0.019531,0.049998,0.009998,0.018280,-0.124023,0.009938
8,0.019531,0.057139,0.009998,0.022565,-0.013672,0.015080
9,0.019531,0.064281,0.009998,0.026850,0.030273,0.020222
10,0.019531,0.071422,0.009998,0.031134,-0.006836,0.025363
11,0.019531,0.078562,0.009998,0.035419,-0.056641,0.030504
12,0.019531,0.085703,0.009998,0.039703,-0.016602,0.035645
13,0.019531,0.092842,0.009998,0.043987,-0.025391,0.040786
14,0.019531,0.099981,0.009998,0.048270,0.008789,0.045926
15,0.019531,0.107120,0.009998,0.052553,0.040039,0.051066
16,0.019531,0.114258,0.009998,0.056836,-0.042969,0.056205
17,0.019531,0.121395,0.009998,0.061119,-0.075195,0.061344
18,0.019531,0.128532,0.009998,0.065401,0.051758,0.066483
19,0.019531,0.135668,0.009998,0.069682,0.068359,0.071620
20,0.019531,0.142803,0.009998,0.073963,-0.027344,0.076758
21,0.019531,0.149938,0.009998,0.078244,0.059570,0.081895
22,0.019531,0.157071,0.009998,0.082524,0.040039,0.087031
23,0.019531,0.164204,0.009998,0.086803,0.067383,0.092166
24,0.019531,0.171335,0.009998,0.091082,0.083008,0.097301
25,0.019531,0.178466,0.009998,0.095361,0.019531,0.102435
26,0.019531,0.185596,0.009998,0.099639,0.028320,0.107568
27,0.019531,0.192724,0.009998,0.103916,0.109375,0.112701
28,0.019531,0.199852,0.009998,0.108192,0.084961,0.117833
29,0.019531,0.206978,0.009998,0.112468,0.019531,0.122964
30,0.019531,0.214104,0.009998,0.116743,0.042969,0.128094
31,0.019531,0.221228,0.009998,0.121018,0.010742,0.133223
32,0.019531,0.228350,0.009998,0.125291,0.159180,0.138352
33,0.019531,0.235472,0.009998,0.129564,0.003906,0.143479
34,0.019531,0.242592,0.009998,0.133836,0.076172,0.148606
35,0.019531,0.249711,0.009998,0.138108,0.040039,0.153731
36,0.019531,0.256828,0.009998,0.142378,0.151367,0.158856
37,0.019531,0.263944,0.009998,0.146648,0.200195,0.163979
38,0.019531,0.271058,0.009998,0.150916,0.094727,0.169102
39,0.019531,0.278171,0.009998,0.155184,0.044922,0.174223
40,0.019531,0.285283,0.009998,0.159451,0.121094,0.179343
41,0.019531,0.292392,0.009998,0.163717,0.008789,0.184462
42,0.019531,0.299500,0.009998,0.167981,0.082031,0.189580
43,0.019531,0.306607,0.009998,0.172245,0.131836,0.194696
44,0.019531,0.313711,0.009998,0.176508,-0.029297,0.199812
45,0.019531,0.320814,0.009998,0.180770,0.096680,0.204926
46,0.019531,0.327915,0.009998,0.185030,0.035156,0.210038
47,0.019531,0.335014,0.009998,0.189290,0.083984,0.215150
48,0.019531,0.342111,0.009998,0.193548,0.114258,0.220260
49,0.019531,0.349207,0.009998,0.197805,0.110352,0.225368
50,0.027344,0.356300,0.019999,0.197374,0.243164,0.212850
51,0.027344,0.363391,0.019999,0.201628,0.080078,0.217956
52,0.027344,0.370480,0.019999,0.205882,0.224609,0.223060
53,0.027344,0.377567,0.019999,0.210134,0.097656,0.228163
54,0.027344,0.384652,0.019999,0.214385,0.130859,0.233264
55,0.027344,0.391735,0.019999,0.218635,0.125977,0.238364
56,0.027344,0.398816,0.019999,0.222883,0.124023,0.243462
57,0.027344,0.405894,0.019999,0.227130,0.150391,0.248558
58,0.027344,0.412970,0.019999,0.231376,0.292969,0.253653
59,0.027344,0.420044,0.019999,0.235620,0.193359,0.258746
60,0.027344,0.427115,0.019999,0.239863,0.141602,0.263837
61,0.027344,0.434184,0.019999,0.244104,0.213867,0.268927
62,0.027344,0.441251,0.019999,0.248344,0.202148,0.274015
63,0.027344,0.448314,0.019999,0.252582,0.173828,0.279101
64,0.027344,0.455376,0.019999,0.256819,0.167969,0.284185
65,0.027344,0.462435,0.019999,0.261054,0.258789,0.289267
66,0.027344,0.469491,0.019999,0.265288,0.155273,0.294348
67,0.027344,0.476544,0.019999,0.269520,0.233398,0.299426
68,0.027344,0.483595,0.019999,0.273751,0.179688,0.304503
69,0.027344,0.490643,0.019999,0.277980,0.189453,0.309577
70,0.027344,0.497688,0.019999,0.282207,0.219727,0.314650
71,0.027344,0.504731,0.019999,0.286432,0.177734,0.319721
72,0.027344,0.511770,0.019999,0.290656,0.160156,0.324789
73,0.027344,0.518807,0.019999,0.294878,0.291992,0.329855
74,0.027344,0.525841,0.019999,0.299098,0.318359,0.334920
75,0.027344,0.532872,0.029999,0.303317,0.256836,0.327982
76,0.027344,0.539899,0.029999,0.307533,0.195312,0.333042
77,0.027344,0.546924,0.029999,0.311748,0.173828,0.338099
78,0.027344,0.553946,0.029999,0.315961,0.194336,0.343155
79,0.027344,0.560964,0.029999,0.320172,0.241211,0.348208
80,0.027344,0.567979,0.029999,0.324381,0.155273,0.353259
81,0.027344,0.574992,0.029999,0.328589,0.200195,0.358308
82,0.027344,0.582000,0.029999,0.332794,0.233398,0.363354
83,0.027344,0.589006,0.029999,0.336997,0.247070,0.368398
84,0.027344,0.596008,0.029999,0.341199,0.273438,0.373440
85,0.027344,0.603007,0.029999,0.345398,0.318359,0.378479
86,0.027344,0.610002,0.029999,0.349595,0.192383,0.383516
87,0.027344,0.616994,0.029999,0.353790,0.147461,0.388550
88,0.027344,0.623982,0.029999,0.357983,0.071289,0.393581
89,0.027344,0.630967,0.029999,0.362174,0.141602,0.398610
90,0.027344,0.637949,0.029999,0.366363,0.255859,0.403637
91,0.027344,0.644926,0.029999,0.370550,0.255859,0.408661
92,0.027344,0.651900,0.029999,0.374734,0.319336,0.413682
93,0.027344,0.658871,0.029999,0.378916,0.210938,0.418701
94,0.027344,0.665837,0.029999,0.383096,0.320312,0.423717
95,0.027344,0.672800,0.029999,0.387274,0.263672,0.428730
96,0.027344,0.679759,0.029999,0.391449,0.291992,0.433740
97,0.027344,0.686714,0.029999,0.395622,0.296875,0.438748
98,0.027344,0.693665,0.029999,0.399793,0.226562,0.443753
99,0.027344,0.700613,0.029999,0.403961,0.245117,0.448755
100,0.027344,0.707556,0.029999,0.408127,0.314453,0.453754
101,0.027344,0.714495,0.059999,0.412291,0.266602,0.422750
102,0.027344,0.721431,0.059999,0.416452,0.322266,0.427743
103,0.027344,0.728362,0.059999,0.420611,0.337891,0.432734
104,0.027344,0.735289,0.059999,0.424767,0.284180,0.437721
105,0.027344,0.742212,0.059999,0.428921,0.225586,0.442706
106,0.027344,0.749131,0.059999,0.433072,0.376953,0.447687
107,0.027344,0.756045,0.059999,0.437221,0.241211,0.452666
